warrant,authority written order guarantee
judicious,sound in judgment; wise
perish,be destroyed decay
derivative,unoriginal; obtained from another source
treacherous,not to be trusted, perfidious"
abhor,to hate; to detest
connote,Suggest or imply in addition to the precise, literal meaning"
constrict,make tight or smaller
succumb,yield, die"
narcissism,Self-love
redeem,get back by payment compensate
xenophile (zen-uh-fahyl),a person who is attracted to foreign peoples cultures
moribund,in a dying state; near death
hospitable,liking to give hospitality
acclaimed,welcomed with shouts and approval
renovate,restore something to better condition
ossified,turned to bone; hardened like bone; Inflexible
ingest,take in by swallowing
reconcile,settle a quarrel restore peace
console,give comfort or sympathy to
engulf,swallow up
inquest,Legal or judicial inquiry, especially before a jury and especially made by a coroner into the cause of someone.s death"
sponge,porous rubber for washing live at once expense
equilibrium,state of being balanced
aggravate,make worse; irritate
foolproof,incapable of failure or error
beguile,mislead or delude; cheat; pass time
turbulence,being uncontrollably violent
implosion,collapse; bursting inward
opaqueness,dullness/not allowing light to pass through
alleviate,make (pain) easier to bear
negligent,taking too little care
bewilder,puzzle; confuse
massacre,cruel killing of a large number of people
euphoria,elation state of pleasant excitement
ambidextrous,able to use the left hand or the right equally well
disrobe,undress
rejuvenation,becoming young in nature or appearance
woo,try to win
dexterity,skill (esp. in handling)
suffocate,cause or have difficulty in breathing
fission,splitting or division (esp. of cells)
asterisk,the mark * (e.g.. omitted letters)
moderation,quality of being limited; not extreme
nihilism,total rejection of all religious and moral beliefs
livid,Furiously angry, enraged"
cryptic,secret with a hidden meaning
premature,doing or happening something before the right time
gait,a manner of walking, stepping, or running"
sporadic,happening from time to time
edible,fit to be eaten/not poisonous
implicit,implied though; not plainly expressed
aberration,straying away from what is normal
retrograde,receding
commemorate,keep the memory of
indistinct,not easily heard; seen clearly marked
agile,active; quick-moving
dupe,cheat make a fool of
retrospective,Looking back on past
unscathed,unharmed unhurt
sophisticated,complex; subtle; refined
recitals,a number of performance of music
appease,make quiet or calm
repel,refuse to accept/cause dislike
coagulation,change to a thick and solid state
gullible,easily gulled
sluggard,lazy slow-moving person
misogynist,one who hates women/females
curriculum,course of study
resuscitation,coming back to consciousness
sequence,succession connected line of
acumen,Keen, quick, accurate insight or judgment"
ascend,go or come up
enzyme,catalyst
anguish,severe suffering
luminary,star; light-giving body
permeate,spread into every part of
auxiliary,helping; supporting
conjoin,to join together
knit,draw together; unite firmly
tractable,easily controlled or guided
forgery,counterfeit
philanthropist,one who loves mankind
sadistic,Cruel
salvage,the saving of property from loss
legacy,Bequest or inheritance
solvent,of the power of forming a solution
somersault,rolling backward or forward (not sideways) movement
arrogance,proud; superior manner of behaviour
enigma,something that is puzzling
introvert,one who turns towards himself
heterogeneous,made up of different kinds
cumbersome,burdensome; heavy and awkward to carry
centurion,leader of a unit of 100 soldiers
malleable,yielding easily shaped; moldable; adapting
torque,twisting force causing rotation
impromptu,without preparation
introspection,examining one's own thoughts and feelings
scent,smell (especially pleasant)
alloy,to debase by mixing with something inferior
grievous,causing grief or pain; serious dire grave
abstruse,difficult to comprehend; obscure
extralegal,outside the law
gallant,brave,behaves well with women"
shard,A piece of broken pottery
eulogy,formal praise panegyric
correlate,have a mutual relation
indulgent,inclined to indulge
indigenous,native
patron,regular customer person who gives support
suffice,be enough
accolade,praise; approval
sawdust,tiny bits of wood
scribble,write hastily
writ,written order
perjury,willful FALSE statement unlawful act
predominate,have more power than others
extinct,no longer active
reiterate,say or do again several times
pluck,pull the feathers off pick (e.g.. flowers)
stride,walk with long steps
misanthrope,person who hates mankind
catalyst,substance that causes speeding up
abysmal,extreme bad
satiate,satisfy fully
adulteration,making unpure; poorer in quality
commuter,person who travels regularly
edify,instruct; correct morally
timid,shy easily frightened
chortle,loud chuckle of pleasure or amusement
apartheid,brutal racial discrimination
poseur,a person who attempts to impress by acting unlike himself
benefactor,person who has given help
reminiscent,suggest something in the past
ameliorate,improve; make better
renowned,celebrated; famous
evoke,call up bring out
mischievous,harmful; causing mischief
dangle,hand or swing loosely
apt,well-suited; quick-witted
divergence,getting farther apart from a point
odor,smell
meticulous,giving great attention to details
tonic,something giving strength or energy
garrulous,too talkative
infuriate,fill with fury or rage
entice,attract, lure"
boisterous,noisy; restraint
disproof,proof to the contrary
presentiment,anticipatory fear; premonition
evasive,tending to evade
brittle,easily broken
abide,be faithful; to endure
fragrant,sweet-smelling
parenthesis,sentence within another one something separated
sheath,cover for the blade of a weapon or a tool
pilferer,to steal, especially in small quantities"
cordial,warm and sincere
malevolent,malicious; evil; having or showing ill will
recuperate,become strong after illness loss exhaustion
flimsy,lacking solidarity, strength"
complaisant,trying to please; obliging
abscond,to go away suddenly (to avoid arrest)
eradicate,get rid of pull up by the roots
vivacious,lively high-spirited
ambiguous,doubtful; uncertain
fidelity,loyalty accuracy
inclined,directing the mind in a certain direction
mesmerize,hypnotize
riddle,puzzling person or thing
amalgamate,mix; combine; unite societies
invincible,too strong to be defeated
defer,postpone
spear,weapon with a metal point on a long shaft
vigorous,strong energetic
steeply,rising or falling sharply
endeavor,to make an effort, to try very hard"
eloquence,fluent speaking skillful use of language
plea,request
yeoman,man owning small estate; middle-class farmer
paradigm,a model example or pattern
braggart,boastful
limp,lacking strength; walking unevenly
articulate,speak distinctly; connect by joints
weigh,measure how heavy something is
encapsulate,enclose in capsule
fragile,easily injured broken or destroyed
foster,nurture; care for
calipers,metal supports attached to the legs measuring instrument
clot,half-solid lump formed from liquid
mite,A very small amount, portion, or particle"
dislodge,move force from the place occupied
relapse,fall back again
submerge,put under water liquid sink out of sight
audacious,Bold
immutable,that cannot be changed
liberality,free giving; generosity
connoisseur,a person with good judgement (e.g.. in art)
enduring,lasting
dote,show much fondness center one's attention
ambivalent,having both of two contrary meanings
extinguish,end the existence of/wipe or put out
elaborate,worked out with much care in great detail
ail,to cause pain, uneasiness, or trouble to."
incongruous,out of place; not in harmony or agreement
pest,destructive thing or a person who is nuisance
loll,rest to sit or stand in a lazy way hang (dog's tongue)
bogus,sham; counterfeit; not genuine
offhand,Without preparation or forethought
adorn,add beauty; decorate
dullard,a stupid, insensitive person"
tadpole,form of a frog when it leaves the egg
combustion,process of burning
turmoil,trouble disturbance
shunned,avoided, kept away from"
sanity,health of mind soundness of judgment
sanction,approval (by authority) penalty
gerontocracy,government ruled by old people
animosity,strong dislike
shallow,little depth; not earnest
yarn,tale story fibers for knitting
precursors,a person or thing that precedes, as in a process or job."
endorse,write one's name on the back of
erratic,irregular in behaviour or opinion
refine,make or become pure cultural
lampoon,publicly mock or ridicule
partisan,one-sided committed to a party biased or prejudiced
drowsiness,feeling sleepy half asleep
clientele,customers
affable,polite and friendly
allegiance,duty support loyalty
strive,to make great efforts, to struggle"
affinity,close connection; relationship
embezzle,use in a wrong way for one's own benefit
volatile,changeable inconstant fickle unstable explosive
buoyant,able to float; light-hearted
Lambaste,attack verbally
stray,wander lose one's way
hypocrisy,falsely making oneself appear to be good
fleet,number of ships; quick-moving
brass,yellow metal (mixing copper and zinc)
grumble,to complain
jabber,talk excitedly; utter rapidly
pivotal,of great importance (others depend on it)
superimpose,put something on the top
impede,hinder; get in the way of
concur,agree in opinion happen together
skit,short piece of humorous writing
disallow,refuse to allow or accept as a correct
dwarf,person much smaller the usual size
sobriety,quality or condition of being sober
repulsive,causing a feeling of disgust
flop,fail/move/fall clumsily
surcharge,additional load/charge
arcane,known or understood by very few
antidote,medicine used against a poison or a disease
chisel,steel tool for shaping materials
pertain,belong as a part have reference
impermeable,that cannot be permeated
conceal,hide keep secret
dormant,in a state of inactivity but awaiting development
colloquial,involving or using conversation.
